school_name,address,postal_code,dgp_code,zone_code,cluster_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,Y,X
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,BUKIT TIMAH,SOUTH,SOUTH 3,MIXED LEVEL,No,No,No,Yes,1.329973,103.804488
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK,EAST,EAST 2,MIXED LEVEL,No,No,No,Yes,1.3189,103.935561
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,BEDOK,EAST,EAST 7,JUNIOR COLLEGE,No,No,No,Yes,1.306142,103.919825
EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,BISHAN,NORTH,NORTH 1,JUNIOR COLLEGE,No,No,No,Yes,1.313511,103.786552
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,ANG MO KIO,NORTH,NORTH 5,JUNIOR COLLEGE,No,No,No,No,1.378043,103.8457619
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,YISHUN,NORTH,NORTH 8,JUNIOR COLLEGE,No,No,No,No,1.424637,103.829634
TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,PASIR RIS,EAST,EAST 1,JUNIOR COLLEGE,No,No,No,No,1.376067,103.937002
JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,CHOA CHU KANG,WEST,WEST 2,JUNIOR COLLEGE,No,No,No,No,1.384627,103.753951
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,NOVENA,SOUTH,SOUTH 5,JUNIOR COLLEGE,No,No,No,No,1.324641,103.83554
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,QUEENSTOWN,WEST,WEST 1,JUNIOR COLLEGE,No,No,No,No,1.303305,103.785253
ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,TOA PAYOH,SOUTH,SOUTH 5,JUNIOR COLLEGE,No,No,No,No,1.3332005,103.8631951
