MALL_NAME,X,Y
100 AM,29131.8164707187,28573.4721462857
313@Somerset,28548.4434900124,31484.2152895704
Aperia,31450.8833081286,32446.7500659414
Balestier Hill Shopping Centre,29159.9587036703,34265.8946909048
Bugis Cube,30483.6609593872,31167.236766085
Bugis Junction,30545.558834751,31385.9610861018
Bugis+plus,30328.6278624988,31329.1025576182
Capitol Piazza,29996.9452433296,30607.6152235419
Cathay Cineleisure Orchard,28346.2346228997,31541.1001512017
Clarke Quay Central,29418.5188381296,29924.2526245229
The Centrepoint,28716.7486134721,31591.636454586
City Square Mall,30593.7379886355,32635.8168469369
CityLink Mall,30320.9724235214,30574.3217429761
Duo,30746.4649981109,31286.3049301636
Far East Plaza,28052.7910912244,32166.5070981309
Great World City,27855.0077968157,30647.6002894119
HDB Hub,29532.2190358335,34929.9016105011
Holland Road Shopping Centre,23776.8459559129,32509.47934228
ION Orchard,27856.8248444132,31813.0620105434
Junction 8,29718.5468669816,36954.9571796674
Knightsbridge,28330.0158265034,31702.7720460296
Liang Court,29263.1969846771,30431.9464142006
Liat Towers,27711.6829008537,31937.6847128496
Lucky Plaza,28071.5971645994,31871.1748442725
Marina Bay Sands,30908.2819068498,29603.0786860827
The Shoppes at Marina Bay Sands,30856.1524784075,29629.7058551106
Marina Bay Financial Centre Tower 3,30352.5358466741,29064.6605017614
Marina Bay Link Mall,30229.2561045358,29186.6007645484
Marina One,30235.1104471437,28834.3108242899
Marina Square,30811.1659309088,30472.3321676385
Millenia Walk,30938.800206791,30555.2769762818
Mustafa Centre,30445.3046137203,32491.0761357676
Ngee Ann City,28207.3720752401,31620.7876102403
Orchard Central,28680.6729301111,31465.6764824912
Orchard Gateway,28681.5684992137,31421.926957218
Orchard Plaza,28871.5825470271,31511.9399756882
Orchard Midpoint,28594.4207691552,31570.5704524759
Orchard Shopping Centre,28508.5463526344,31538.8182479087
Palais Renaissance,27584.8261186681,32108.7723720521
Paragon Shopping Centre,28213.8709140232,31784.6078054812
People's Park Centre,29186.540773403,29799.4470430575
People's Park Complex,29023.9934074151,29618.5249527302
Plaza Singapura,29305.3367980396,31455.5770551674
PoMo,29774.6134942079,31384.9109081384
Raffles City,30227.5006220164,30706.8979330975
Scotts Square,27973.8247063623,32010.1480214111
Serangoon Plaza,30429.2770807151,32565.0041423291
Shaw House and Centre,27849.9803452556,32048.8959439825
Sim Lim Square,30194.5716890461,31707.3309492003
Singapore Shopping Centre,29201.1359043479,31168.6460736748
The South Beach,30554.9870392647,30818.7288103942
Square 2,29206.6250939963,33662.3578150738
Suntec City,30811.9339809963,30871.6647595279
Tanglin Mall,26946.545108616,31908.478378661
Tangs,27961.3321106363,31920.2651855405
Tanjong Pagar Centre,29317.3434110177,28799.2791442238
Tekka Centre,29924.373756993,32056.0217537825
Thomson Plaza,27665.1144879894,37384.0763732623
United Square,29145.4956319385,33274.1963187382
Velocity,29210.0329662851,33506.5050006527
Wheelock Place,27702.1243623986,31889.9934485927
Wisma Atria,27987.4434526867,31782.5683790073
Zhongshan Mall,29473.0098957331,34352.3619664218
White Sands,40953.58435431,39384.3583544549
Downtown East,41516.4378213494,39973.3124789465
Century Square,40296.7094797182,37163.8108075149
Tampines 1,40444.5880122209,37379.9826890006
Tampines Mall,40395.3605872548,37181.4052837696
Our Tampines Hub,39917.8685246811,37248.4145740773
Changi Airport,45136.8871216752,37700.5813844092
Changi City Point,42423.0269516256,35136.8611284625
Djitsun Mall Bedok,38710.0881669378,34261.3041274231
Eastpoint Mall,41321.9771343163,36095.4714791365
Bedok Mall,38678.1713650759,34112.2887899857
Bedok Point,39022.3326566983,34133.2403185834
Paya Lebar Square,34595.3032159227,33453.4435301889
Singapore Post Centre,34852.8436825438,33473.5521862432
One KM,34835.3928884087,32989.4359148946
112 Katong,35982.4661738017,31948.7351299524
Parkway Parade,36008.6027896191,31491.3156742621
City Plaza,34694.5110424839,33008.0531160515
Katong Square,35934.9422006929,31901.2241720762
Katong V,35738.2548797062,31798.7670774609
Kallang Wave Mall,32432.8422906373,31712.9829503353
Leisure Park Kallang,32802.8046472076,31627.396624485
East Village,40566.6232862075,34887.1541068293
Elias Mall,40092.4603688932,40064.6401872877
Loyang Point,42609.8986984412,38721.4156571664
The Flow,35888.8009598824,31878.7438076213
888 Plaza,23770.7139348243,46535.3137346059
Admiralty Place,24491.4688139601,46840.261945283
AMK Hub,29679.5749310621,39022.9506683909
Causeway Point,22732.1055453277,46418.9024941381
Broadway Plaza,29405.6638741059,39327.3741835691
Djitsun Mall,38710.0881669378,34261.3041274231
Jubilee Square,29615.7860936863,39310.6009079814
Junction 9,28928.3840203623,46092.9609547779
Marsiling Mall,22053.3037563632,46139.50793791
Northpoint City,28318.1723276906,45515.7637021318
Sembawang Shopping Centre,27057.0452842774,47055.1697449647
Sun Plaza,26462.447663953,47759.6068513989
Wisteria Mall,28884.7489383357,44415.5435907915
Woodlands Mart,24085.2870011073,47475.1842685212
Waterway Point,35655.0554567837,43147.5521318857
Compass One,34872.129715339,41551.7292007189
Hougang Mall,34728.1240016192,39389.1175711434
Heartland Mall,33770.1681960926,37956.7995033599
NEX,32337.7653476886,36986.7628072258
Greenwich V,31986.0138748619,41036.6794434935
Hougang 1,33136.3424516371,39745.1742409021
Hougang Green Shopping Mall,34066.6627102567,40135.5216910206
myVillage @ Serangoon,31543.5161719279,38573.0096445084
Oasis Terraces,36891.3954429707,42737.9701953493
Punggol Plaza,36872.7560553817,41793.3313340843
Rivervale Mall,35918.397660258,41567.7920261938
Rivervale Plaza,35625.6731445377,40809.1926632635
The Seletar Mall,32763.8501456471,41487.2587586157
The Midtown,34896.837107231,39169.0242907573
Upper Serangoon Shopping Centre,33064.7276757293,37286.6027810946
Beauty World Centre,21681.0911870825,36062.7591135911
Beauty World Plaza,21649.9257879143,35995.0375873577
Bukit Panjang Plaza,20325.4618081182,40210.2194124088
Bukit Timah Plaza,21910.414961512,35658.7866516728
Fajar Shopping Centre,21068.0308836575,40661.9389830138
Greenridge Shopping Centre,20533.7299018215,40816.7439803761
Hillion Mall,20156.9241962768,40045.5291337091
HillV2,20304.9008575858,38303.2499323227
Junction 10,19859.2468093086,40256.2722101714
Limbang Shopping Centre,17969.9814966502,41572.7990165949
Lot One,18172.5792770868,40769.152933415
Rail Mall,20733.2959199364,37774.3563257772
Sunshine Place,17505.238187743,39986.6034532767
Teck Whye Shopping Centre,19004.1078333839,40224.3126699161
